"","Var1","Var2","value"
"1","roe","roe",1
"2","roa","roe",0.927613722533678
"3","profit_margin_rate","roe",0.769836624279952
"4","gross_margin_rate","roe",0.263933319779695
"5","expense_rate","roe",-0.563964269573648
"6","asset_turnover","roe",0.147948736855924
"7","inventory_turnover","roe",0.0609948258984017
"8","equity_turnnover","roe",-0.0846514271433868
"9","rev_growth_rate","roe",0.178890323350809
"10","margin_growth_rate","roe",0.0423719956373313
"11","op_profit_growth_rate","roe",0.070655719737964
"12","cash_reinv_rate","roe",0.518422290791974
"13","asset_growth_rate","roe",0.366727395586673
"14","current_ratio","roe",0.00161885252532689
"15","quick_rartio","roe",-0.178525536129484
"16","debt_ratio","roe",-0.125853365081838
"17","roe","roa",0.927613722533678
"18","roa","roa",1
"19","profit_margin_rate","roa",0.849678033161943
"20","gross_margin_rate","roa",0.316508191821517
"21","expense_rate","roa",-0.602167492346144
"22","asset_turnover","roa",0.166463783487875
"23","inventory_turnover","roa",0.0498719959855883
"24","equity_turnnover","roa",0.0386910904570714
"25","rev_growth_rate","roa",0.182344012908911
"26","margin_growth_rate","roa",0.0252565080268641
"27","op_profit_growth_rate","roa",0.0481880240850674
"28","cash_reinv_rate","roa",0.504324078456767
"29","asset_growth_rate","roa",0.388442882343791
"30","current_ratio","roa",0.010373006903173
"31","quick_rartio","roa",-0.133926962915792
"32","debt_ratio","roa",-0.0535872922037833
"33","roe","profit_margin_rate",0.769836624279952
"34","roa","profit_margin_rate",0.849678033161943
"35","profit_margin_rate","profit_margin_rate",1
"36","gross_margin_rate","profit_margin_rate",0.276079735954796
"37","expense_rate","profit_margin_rate",-0.768924243787226
"38","asset_turnover","profit_margin_rate",0.116560158831891
"39","inventory_turnover","profit_margin_rate",0.0963693380184245
"40","equity_turnnover","profit_margin_rate",0.0309937608777632
"41","rev_growth_rate","profit_margin_rate",0.112338020002733
"42","margin_growth_rate","profit_margin_rate",0.00879782440201563
"43","op_profit_growth_rate","profit_margin_rate",0.0661701602618203
"44","cash_reinv_rate","profit_margin_rate",0.477952502935413
"45","asset_growth_rate","profit_margin_rate",0.300383311098355
"46","current_ratio","profit_margin_rate",0.0696681707123668
"47","quick_rartio","profit_margin_rate",-0.0944155378729775
"48","debt_ratio","profit_margin_rate",0.0344958693820607
"49","roe","gross_margin_rate",0.263933319779695
"50","roa","gross_margin_rate",0.316508191821517
"51","profit_margin_rate","gross_margin_rate",0.276079735954796
"52","gross_margin_rate","gross_margin_rate",1
"53","expense_rate","gross_margin_rate",0.39128487716882
"54","asset_turnover","gross_margin_rate",-0.270282519601164
"55","inventory_turnover","gross_margin_rate",-0.313542810443216
"56","equity_turnnover","gross_margin_rate",-0.332312566363087
"57","rev_growth_rate","gross_margin_rate",-0.049016229086972
"58","margin_growth_rate","gross_margin_rate",-0.0335227938826715
"59","op_profit_growth_rate","gross_margin_rate",-0.00707197285547741
"60","cash_reinv_rate","gross_margin_rate",0.133866359895467
"61","asset_growth_rate","gross_margin_rate",0.198336670769808
"62","current_ratio","gross_margin_rate",0.230233217830738
"63","quick_rartio","gross_margin_rate",-0.0281893801207302
"64","debt_ratio","gross_margin_rate",-0.430506955752228
"65","roe","expense_rate",-0.563964269573648
"66","roa","expense_rate",-0.602167492346144
"67","profit_margin_rate","expense_rate",-0.768924243787226
"68","gross_margin_rate","expense_rate",0.39128487716882
"69","expense_rate","expense_rate",1
"70","asset_turnover","expense_rate",-0.295266496563153
"71","inventory_turnover","expense_rate",-0.269584396846894
"72","equity_turnnover","expense_rate",-0.249990028590022
"73","rev_growth_rate","expense_rate",-0.142296865482896
"74","margin_growth_rate","expense_rate",-0.024184436450584
"75","op_profit_growth_rate","expense_rate",-0.0503921317840477
"76","cash_reinv_rate","expense_rate",-0.368825761310214
"77","asset_growth_rate","expense_rate",-0.159527068804307
"78","current_ratio","expense_rate",0.0778667983815145
"79","quick_rartio","expense_rate",0.0710954660778439
"80","debt_ratio","expense_rate",-0.302511261248173
"81","roe","asset_turnover",0.147948736855924
"82","roa","asset_turnover",0.166463783487875
"83","profit_margin_rate","asset_turnover",0.116560158831891
"84","gross_margin_rate","asset_turnover",-0.270282519601164
"85","expense_rate","asset_turnover",-0.295266496563153
"86","asset_turnover","asset_turnover",1
"87","inventory_turnover","asset_turnover",0.294707547659268
"88","equity_turnnover","asset_turnover",0.81529132326766
"89","rev_growth_rate","asset_turnover",0.641837235579735
"90","margin_growth_rate","asset_turnover",0.0916555028540266
"91","op_profit_growth_rate","asset_turnover",0.0630084242236634
"92","cash_reinv_rate","asset_turnover",-0.0230468729344582
"93","asset_growth_rate","asset_turnover",0.248302838112533
"94","current_ratio","asset_turnover",-0.0750607428131442
"95","quick_rartio","asset_turnover",0.058653194122709
"96","debt_ratio","asset_turnover",0.251226467665838
"97","roe","inventory_turnover",0.0609948258984017
"98","roa","inventory_turnover",0.0498719959855883
"99","profit_margin_rate","inventory_turnover",0.0963693380184245
"100","gross_margin_rate","inventory_turnover",-0.313542810443216
"101","expense_rate","inventory_turnover",-0.269584396846894
"102","asset_turnover","inventory_turnover",0.294707547659268
"103","inventory_turnover","inventory_turnover",1
"104","equity_turnnover","inventory_turnover",0.223414454817958
"105","rev_growth_rate","inventory_turnover",0.238834411078361
"106","margin_growth_rate","inventory_turnover",-0.00997591864970126
"107","op_profit_growth_rate","inventory_turnover",0.0448243491524549
"108","cash_reinv_rate","inventory_turnover",0.0590598820807014
"109","asset_growth_rate","inventory_turnover",0.136004622694254
"110","current_ratio","inventory_turnover",-0.136409232041581
"111","quick_rartio","inventory_turnover",-0.109633375937031
"112","debt_ratio","inventory_turnover",0.193927223237436
"113","roe","equity_turnnover",-0.0846514271433868
"114","roa","equity_turnnover",0.0386910904570714
"115","profit_margin_rate","equity_turnnover",0.0309937608777632
"116","gross_margin_rate","equity_turnnover",-0.332312566363087
"117","expense_rate","equity_turnnover",-0.249990028590022
"118","asset_turnover","equity_turnnover",0.81529132326766
"119","inventory_turnover","equity_turnnover",0.223414454817958
"120","equity_turnnover","equity_turnnover",1
"121","rev_growth_rate","equity_turnnover",0.352674052067227
"122","margin_growth_rate","equity_turnnover",0.0309263574109894
"123","op_profit_growth_rate","equity_turnnover",0.0093013465263942
"124","cash_reinv_rate","equity_turnnover",-0.024636040745522
"125","asset_growth_rate","equity_turnnover",0.148192161328289
